Train,Start Time DEB,Start Time FOR,Start Time DEG
"('DEP', 48215, 3847)",,3637.0,3802.0
"('DEP', 489044, 3010)",,2222.0,2387.0
"('DEP', 52672, 3852)",,3652.0,3817.0
"('DEP', 54003, 3119)",,2919.0,3084.0
"('DEP', 54053, 3818)",,3618.0,3783.0
"('DEP', 54231, 3729)",,3529.0,3694.0
"('DEP', 71210, 3180)",,2980.0,3145.0
"('DEP', 400006, 5266)",,5066.0,5231.0
"('DEP', 400010, 5746)",,5546.0,5711.0
"('DEP', 400016, 5686)",,5486.0,5651.0
"('DEP', 431035, 5222)",,4988.0,5153.0
"('DEP', 44203, 5395)",,5195.0,5360.0
"('DEP', 44241, 5122)",,4922.0,5087.0
"('DEP', 44806, 4638)",,4438.0,4603.0
"('DEP', 450226, 4760)",,3107.0,3272.0
"('DEP', 47245, 5203)",,5003.0,5168.0
"('DEP', 47247, 4980)",,4780.0,4945.0
"('DEP', 47820, 5665)",,5465.0,5630.0
"('DEP', 489118, 5230)",,5030.0,5195.0
"('DEP', 52672, 5292)",,5087.0,5252.0
"('DEP', 54003, 4559)",,4335.0,4500.0
"('DEP', 54051, 4654)",,4454.0,4619.0
"('DEP', 54086, 4550)",,4350.0,4515.0
"('DEP', 54231, 5169)",,4969.0,5134.0
"('DEP', 71256, 4466)",,4266.0,4431.0
"('DEP', 400010, 7186)",,6986.0,7151.0
"('DEP', 400016, 7126)",,6926.0,7091.0
"('DEP', 412024, 6026)",,5826.0,5991.0
"('DEP', 41258, 5923)",,5723.0,5888.0
"('DEP', 431035, 6663)",,6463.0,6628.0
"('DEP', 44241, 6562)",,6362.0,6527.0
"('DEP', 44249, 5947)",,5747.0,5912.0
"('DEP', 44952, 7017)",,6817.0,6982.0
"('DEP', 47205, 6919)",,6719.0,6884.0
"('DEP', 48219, 5914)",,5102.0,5267.0
"('DEP', 489447, 6131)",,5931.0,6096.0
"('DEP', 52672, 6732)",,6300.0,6465.0
"('DEP', 54003, 5999)",,5775.0,5940.0
"('DEP', 54053, 6698)",,6498.0,6663.0
"('DEP', 54086, 5990)",,5790.0,5955.0
"('DEP', 54231, 6609)",,6409.0,6574.0
"('DEP', 71217, 7170)",,6950.0,7115.0
"('DEP', 41258, 7363)",,7163.0,7328.0
"('DEP', 431091, 7579)",,7356.0,7521.0
"('DEP', 44241, 8002)",,7769.0,7934.0
"('DEP', 44806, 7470)",,7270.0,7435.0
"('DEP', 450224, 7779)",,7579.0,7744.0
"('DEP', 47237, 7860)",,7660.0,7825.0
"('DEP', 47281, 8309)",,7784.0,7949.0
"('DEP', 489044, 7330)",,6965.0,7130.0
"('DEP', 489119, 8103)",,7799.0,7964.0
"('DEP', 489447, 7571)",,7371.0,7536.0
"('DEP', 54051, 7536)",,7336.0,7501.0
"('DEP', 54086, 7430)",,7230.0,7395.0
"('DEP', 431037, 9700)",,9194.0,9359.0
"('DEP', 44247, 9515)",,9209.0,9374.0
"('DEP', 44559, 9368)",,9168.0,9333.0
"('DEP', 47820, 9542)",,9224.0,9389.0
"('DEP', 489447, 9011)",,8811.0,8976.0
"('DEP', 54003, 8879)",,8655.0,8820.0
"('DEP', 54053, 9578)",,9239.0,9404.0
"('DEP', 54055, 8730)",,8530.0,8695.0
"('DEP', 54086, 8870)",,8670.0,8835.0
"('DEP', 400014, 11267)",,9909.0,10074.0
"('DEP', 431035, 10982)",,9924.0,10089.0
"('DEP', 431121, 10421)",,9939.0,10104.0
"('DEP', 450226, 10520)",,9954.0,10119.0
"('DEP', 489447, 10451)",,9969.0,10134.0
"('DEP', 54003, 10319)",,9984.0,10149.0
"('DEP', 54051, 10414)",,9999.0,10164.0
"('DEP', 54086, 10310)",,10014.0,10179.0
"('DEP', 54231, 10929)",,10029.0,10194.0
"('DEP', 41258, 11683)",,10044.0,10209.0
"('DEP', 431091, 11899)",,10059.0,10224.0
"('DEP', 489044, 11650)",,10074.0,10239.0
"('DEP', 54051, 11854)",,10089.0,10254.0
"('DEP', 412124, 13153)",,10104.0,10269.0
"('DEP', 431113, 13620)",,10119.0,10284.0
