Train,Start Time DEB,Start Date DEB,Start Time FOR,Start Date FOR,Start Time DEG,Start Date DEG
"('ARR', 55390, 8629)",21:00,14/08/2022,,,,
"('ARR', 55396, 7665)",21:00,14/08/2022,,,,
"('ARR', 56135, 8488)",21:00,14/08/2022,,,,
"('ARR', 56730, 7352)",21:00,14/08/2022,,,,
"('ARR', 58706, 8475)",21:00,14/08/2022,,,,
"('ARR', 56730, 8795)",21:00,14/08/2022,,,,
"('DEP', 400006, 2386)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 400016, 2806)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 400110, 2697)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 431035, 2342)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 431091, 1819)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 44203, 2515)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 44241, 2242)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 44249, 1627)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 44806, 1933)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 47245, 2300)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 47289, 2100)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 47821, 2785)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 489447, 1811)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 52672, 2412)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 54003, 1679)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 54051, 1774)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 54086, 1670)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 54231, 2289)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 450226, 3320)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 400014, 4067)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 412124, 3073)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 41258, 3043)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 431035, 3783)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 431091, 3259)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 44203, 3955)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 44241, 3682)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 44249, 3067)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 47205, 3728)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 48215, 3847)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 489044, 3010)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 52672, 3852)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 54003, 3119)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 54053, 3818)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 54231, 3729)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 71210, 3180)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 400006, 5266)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 400010, 5746)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 400016, 5686)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 431035, 5222)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 44203, 5395)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 44241, 5122)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 44806, 4638)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 450226, 4760)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 47245, 5203)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 47247, 4980)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 47820, 5665)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 489118, 5230)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 52672, 5292)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 54003, 4559)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 54051, 4654)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 54086, 4550)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 54231, 5169)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 71256, 4466)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 400010, 7186)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 400016, 7126)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 412024, 6026)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 41258, 5923)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 431035, 6663)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 44241, 6562)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 44249, 5947)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 44952, 7017)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 47205, 6919)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 48219, 5914)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 489447, 6131)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 52672, 6732)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 54003, 5999)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 54053, 6698)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 54086, 5990)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 54231, 6609)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 71217, 7170)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 41258, 7363)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 431091, 7579)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 44241, 8002)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 44806, 7470)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 450224, 7779)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 47237, 7860)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 47281, 8309)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 489044, 7330)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 489119, 8103)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 489447, 7571)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 54051, 7536)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 54086, 7430)",,,21:15,14/08/2022,00:00,15/08/2022
"('DEP', 431037, 9700)",,,21:15,14/08/2022,00:00,15/08/2022
